area_m2,precio,banios,alcobas,nombre_cliente,precio_estimado
87,139200000,1,2,Nicolás Torres Guerrero,177396262.67
87,139200000,1,2,Isabella Alvarez Ramirez,177396262.67
87,139200000,1,1,Samuel Valencia Montoya,177699955.18
87,139200000,1,4,Maria Moreno Villa,176788877.65
174,278400000,1,1,Santiago Hernandez Ramirez,354627782.71
151,241600000,1,4,Isabella Gomez Montoya,306942681.81
116,150800000,1,1,Sara Arrieta Henao,236675897.69
116,150800000,1,4,David Fernandez Mendoza,235764820.16
116,150800000,1,4,Carolina Cardenas Villa,235764820.16
116,150800000,1,2,Samuel Diaz Herrera,236372205.18
116,162400000,1,4,Sebastian Lopez Herrera,235764820.16
116,162400000,1,3,Antonia Restrepo Mendoza,236068512.67
116,162400000,1,3,Nicole Valencia Guerrero,236068512.67
116,324800000,1,4,Juan Perez Henao,235764820.16
116,324800000,1,4,Santiago Martinez Jaramillo,235764820.16
145,174000000,1,3,Juliana Rodriguez Salazar,295044455.18
116,174000000,1,2,Diego Cardenas Acosta,236372205.18
116,174000000,1,4,Andres Fernandez Salazar,235764820.16
87,174000000,1,2,Daniel Rodriguez Garcia,177396262.67
145,174000000,1,3,Laura Uribe Botero,295044455.18
87,174000000,1,4,Daniel Moreno Herrera,176788877.65
116,174000000,1,2,Daniel Castro Alvarez,236372205.18
145,174000000,1,3,Carlos Arboleda Acosta,295044455.18
116,174000000,1,3,Sara Castillo Alvarez,236068512.67
145,174000000,1,3,Isabella Perez Ramirez,295044455.18
116,174000000,1,1,Carlos Lopez Osorio,236675897.69
174,348000000,1,2,Mateo Hernandez Acosta,354324090.2
174,348000000,1,1,Carlos Perez Restrepo,354627782.71
174,348000000,1,3,Antonia Torres Munoz,354020397.69
174,348000000,1,2,Antonia Arboleda Osorio,354324090.2
174,348000000,1,1,Isabella Lopez Henao,354627782.71
174,696000000,1,1,Isabella Castro Jaramillo,354627782.71
174,696000000,1,4,Isabella Arboleda Guerrero,353716705.18
116,185600000,1,2,Maria Prieto Mendoza,236372205.18
116,185600000,1,1,Carlos Arboleda Osorio,236675897.69
116,185600000,1,3,Juan Uribe Botero,236068512.67
116,197200000,1,2,Juan Castillo Quintero,236372205.18
87,104400000,1,2,Carolina Cardenas Henao,177396262.67
87,104400000,1,2,Daniel Uribe Mendoza,177396262.67
116,208800000,1,4,Carlos Alvarez Acosta,235764820.16
174,208800000,1,3,Marcela Uribe Montoya,354020397.69
116,208800000,1,1,Daniel Fernandez Cifuentes,236675897.69
174,208800000,1,1,David Alvarez Guerrero,354627782.71
174,208800000,1,4,Carolina Arboleda Munoz,353716705.18
116,232000000,1,4,Lucas Ortiz Garcia,235764820.16
145,232000000,1,4,Camila Valencia Martinez,294740762.67
116,232000000,1,4,Daniel Cardenas Herrera,235764820.16
116,232000000,1,4,Diego Castillo Acosta,235764820.16
116,232000000,1,1,Carlos Jimenez Ramirez,236675897.69
116,232000000,1,3,Juan Restrepo Cifuentes,236068512.67
116,232000000,1,2,Camila Restrepo Osorio,236372205.18
116,464000000,1,3,Antonia Moreno Restrepo,236068512.67
87,121800000,1,3,Camila Uribe Herrera,177092570.16
87,121800000,1,3,Carolina Martinez Montoya,177092570.16
87,121800000,1,4,Diego Hernandez Munoz,176788877.65
174,243600000,1,1,Nicolás Velez Restrepo,354627782.71
87,243600000,1,1,Juan Torres Osorio,177699955.18
174,487200000,1,4,Carolina Velez Jaramillo,353716705.18
191,305600000,1,2,Juliana Quintero Herrera,388896194.43
191,305600000,1,2,Sofia Perez Herrera,388896194.43
116,127600000,1,1,Isabella Quintero Ramirez,236675897.69
116,255200000,1,2,Juliana Lopez Jaramillo,236372205.18
116,255200000,1,3,David Diaz Salazar,236068512.67
137,164400000,1,2,Camila Hernandez Jaramillo,279078922.17
80,88000000,1,3,Marcela Martinez Lopez,162856997.83
88,176000000,1,3,Antonia Gomez Munoz,179126223.35
88,176000000,1,1,Nicolás Cardenas Lopez,179733608.37
88,176000000,1,3,Mateo Moreno Cifuentes,179126223.35
88,176000000,1,3,Juan Quintero Ramirez,179126223.35
80,176000000,1,3,Carolina Uribe Salazar,162856997.83
88,176000000,1,2,Sofia Alvarez Cifuentes,179429915.86
88,176000000,1,1,Andres Martinez Quintero,179733608.37
88,176000000,1,3,Daniel Prieto Alvarez,179126223.35
176,352000000,1,4,Sofia Arrieta Osorio,357784011.56
176,352000000,1,1,Carolina Quintero Osorio,358695089.09
176,352000000,1,2,Antonia Arboleda Lopez,358391396.58
176,352000000,1,2,Santiago Alvarez Jaramillo,358391396.58
176,352000000,1,4,David Patino Mendoza,357784011.56
160,352000000,1,4,Lucas Ortiz Henao,325245560.52
176,352000000,1,1,Santiago Castillo Lopez,358695089.09
176,352000000,1,1,Juliana Ortiz Alvarez,358695089.09
176,704000000,1,4,Juan Rodriguez Salazar,357784011.56
176,704000000,1,2,Laura Velez Guerrero,358391396.58
134,187600000,1,1,Antonia Prieto Jaramillo,273281655.11
134,375200000,1,4,Lucas Rodriguez Jaramillo,272370577.58
134,375200000,1,3,Diego Patino Cifuentes,272674270.09
83,99600000,1,1,Diego Rodriguez Botero,169565342.42
166,199200000,1,1,Ana Hernandez Jaramillo,338358557.19
124,210800000,1,1,David Castro Garcia,252945123.21
139,222400000,1,4,Maria Jimenez Garcia,282538843.53
128,204800000,1,2,Nicole Rodriguez Garcia,260776043.46
128,204800000,1,4,Valentina Arboleda Botero,260168658.44
95,114000000,1,3,Carlos Valencia Cano,193361795.68
114,228000000,1,3,Diego Prieto Gonzalez,232001206.29
114,228000000,1,1,Diego Lopez Gonzalez,232608591.31
114,228000000,1,3,Santiago Lopez Quintero,232001206.29
190,228000000,1,2,David Patino Jaramillo,386862541.24
114,228000000,1,2,David Uribe Herrera,232304898.8
114,228000000,1,4,Lucas Diaz Herrera,231697513.78
114,228000000,1,1,Carlos Valencia Botero,232608591.31
190,228000000,1,1,Daniel Arboleda Osorio,387166233.76
114,228000000,1,2,Carolina Perez Osorio,232304898.8
114,228000000,1,4,Nicole Rodriguez Herrera,231697513.78
114,228000000,1,3,Laura Perez Acosta,232001206.29
152,456000000,1,2,Sofia Rodriguez Herrera,309583720.02
114,456000000,1,2,Lucas Valencia Garcia,232304898.8
152,456000000,1,2,Laura Diaz Villa,309583720.02
114,456000000,1,2,Nicole Gomez Alvarez,232304898.8
152,456000000,1,3,Maria Torres Jaramillo,309280027.51
98,137200000,1,2,Maria Prieto Herrera,199766447.76
98,137200000,1,1,Nicole Velez Munoz,200070140.27
196,274400000,1,4,Camila Lopez Mendoza,398457075.37
196,274400000,1,4,Carolina Diaz Garcia,398457075.37
196,548800000,1,2,Juliana Quintero Ramirez,399064460.39
93,148800000,1,4,Andres Torres Jaramillo,188990796.79
93,148800000,1,3,Antonia Moreno Munoz,189294489.3
124,148800000,1,3,Daniel Ortiz Jaramillo,252337738.19
186,297600000,1,1,Juan Patino Jaramillo,379031620.99
157,251200000,1,4,Nicole Velez Gonzalez,319144600.95
157,251200000,1,4,Juliana Arrieta Villa,319144600.95
146,262800000,1,1,Carolina Valencia Lopez,297685493.39
146,262800000,1,3,Nicolás Rodriguez Jaramillo,297078108.37
86,172000000,1,3,Daniel Rodriguez Guerrero,175058916.97
86,172000000,1,4,Valentina Martinez Montoya,174755224.46
86,172000000,1,2,Mateo Fernandez Munoz,175362609.48
86,172000000,1,2,Andres Velez Cano,175362609.48
86,172000000,1,1,Santiago Gomez Alvarez,175666301.99
86,344000000,1,2,Sebastian Restrepo Restrepo,175362609.48
172,344000000,1,4,Maria Gomez Munoz,349649398.8
172,344000000,1,3,Camila Quintero Mendoza,349953091.31
86,344000000,1,3,Carlos Rodriguez Gonzalez,175058916.97
172,344000000,1,2,Andres Jimenez Gonzalez,350256783.82
172,344000000,1,4,Santiago Ortiz Jaramillo,349649398.8
172,344000000,1,1,Nicolás Valencia Montoya,350560476.33
172,344000000,1,1,Mateo Martinez Lopez,350560476.33
172,344000000,1,4,Carlos Jimenez Garcia,349649398.8
172,344000000,1,1,Sofia Cardenas Gonzalez,350560476.33
172,688000000,1,3,Andres Prieto Guerrero,349953091.31
102,183600000,1,1,Sara Fernandez Restrepo,208204753.03
102,183600000,1,3,Valentina Prieto Munoz,207597368.01
102,183600000,1,3,Mateo Patino Villa,207597368.01
153,183600000,1,4,Daniel Patino Montoya,311009988.19
102,183600000,1,2,Diego Velez Cano,207901060.52
108,183600000,1,3,Isabella Rodriguez Herrera,219799287.15
102,183600000,1,2,Carlos Diaz Mendoza,207901060.52
122,195200000,1,4,Laura Martinez Jaramillo,247966739.3
122,195200000,1,3,Carolina Martinez Cifuentes,248270431.81
122,195200000,1,1,Samuel Jimenez Ramirez,248877816.83
94,103400000,1,2,Ana Arboleda Restrepo,191631835.0
94,103400000,1,2,Sofia Valencia Herrera,191631835.0
188,206800000,1,1,Andres Quintero Lopez,383098927.37
188,206800000,1,3,Daniel Alvarez Salazar,382491542.35
94,206800000,1,1,Carlos Valencia Herrera,191935527.51
188,413600000,1,2,Mateo Valencia Guerrero,382795234.86
91,109200000,1,3,Carlos Castro Ramirez,185227182.92
84,109200000,1,3,Diego Gomez Osorio,170991610.59
91,109200000,1,2,Valentina Martinez Restrepo,185530875.43
84,109200000,1,1,Daniel Gomez Herrera,171598995.61
84,109200000,1,3,Nicole Torres Quintero,170991610.59
91,109200000,1,2,Samuel Prieto Botero,185530875.43
84,109200000,1,4,Lucas Prieto Garcia,170687918.08
168,218400000,1,4,Nicole Arrieta Villa,341514786.04
168,218400000,1,2,Santiago Prieto Lopez,342122171.06
182,218400000,1,3,Carlos Fernandez Guerrero,370289623.21
156,218400000,1,1,Santiago Rodriguez Herrera,318022025.29
182,218400000,1,3,Sara Valencia Herrera,370289623.21
182,218400000,1,4,Juan Uribe Montoya,369985930.7
156,436800000,1,4,Marcela Castro Salazar,317110947.76
156,436800000,1,1,Ana Martinez Botero,318022025.29
115,230000000,1,1,Maria Jimenez Herrera,234642244.5
115,230000000,1,1,Samuel Castro Montoya,234642244.5
115,230000000,1,4,David Quintero Restrepo,233731166.97
115,230000000,1,2,Nicolás Jimenez Botero,234338551.99
92,230000000,1,1,Maria Diaz Lopez,187868221.13
92,230000000,1,3,Sofia Alvarez Jaramillo,187260836.11
115,230000000,1,3,Mateo Diaz Herrera,234034859.48
184,460000000,1,2,Andres Perez Ramirez,374660622.1
115,460000000,1,1,Mateo Ortiz Montoya,234642244.5
87,139200000,1,1,Samuel Rodriguez Osorio,177699955.18
116,139200000,1,2,Carolina Castro Herrera,236372205.18
87,139200000,1,2,Mateo Restrepo Martinez,177396262.67
116,139200000,1,4,Sara Ortiz Herrera,235764820.16
116,139200000,1,1,Sebastian Diaz Restrepo,236675897.69
116,139200000,1,3,Antonia Gomez Quintero,236068512.67
151,241600000,1,4,Sara Torres Cifuentes,306942681.81
116,150800000,1,1,Sara Arrieta Herrera,236675897.69
116,150800000,1,4,Valentina Castro Montoya,235764820.16
116,150800000,1,3,Sara Fernandez Montoya,236068512.67
116,150800000,1,3,Santiago Hernandez Villa,236068512.67
116,150800000,1,3,Santiago Ortiz Mendoza,236068512.67
116,162400000,1,4,Santiago Torres Henao,235764820.16
116,162400000,1,4,Carolina Moreno Guerrero,235764820.16
116,162400000,1,2,Carolina Patino Herrera,236372205.18
116,324800000,1,4,Andres Lopez Lopez,235764820.16
145,174000000,1,1,Laura Martinez Jaramillo,295651840.2
116,174000000,1,4,Antonia Castillo Botero,235764820.16
116,174000000,1,1,Juan Arboleda Herrera,236675897.69
87,174000000,1,1,Carolina Fernandez Botero,177699955.18
116,174000000,1,3,Santiago Castillo Botero,236068512.67
87,174000000,1,1,Mateo Arboleda Villa,177699955.18
87,174000000,1,2,Carolina Arrieta Ramirez,177396262.67
87,174000000,1,4,Sebastian Fernandez Salazar,176788877.65
87,174000000,1,1,Diego Quintero Alvarez,177699955.18
145,174000000,1,2,Valentina Quintero Ramirez,295348147.69
87,174000000,1,4,Valentina Prieto Montoya,176788877.65
87,174000000,1,4,Diego Moreno Lopez,176788877.65
174,348000000,1,4,Valentina Martinez Cano,353716705.18
174,348000000,1,3,Laura Castillo Henao,354020397.69
116,348000000,1,2,Diego Hernandez Gonzalez,236372205.18
87,348000000,1,1,Andres Fernandez Jaramillo,177699955.18
174,348000000,1,2,Lucas Castillo Quintero,354324090.2
174,696000000,1,1,Ana Rodriguez Lopez,354627782.71
174,696000000,1,2,Nicole Perez Gonzalez,354324090.2
116,185600000,1,2,Lucas Valencia Quintero,236372205.18
116,185600000,1,2,Daniel Jimenez Salazar,236372205.18
116,197200000,1,1,Camila Perez Herrera,236675897.69
116,197200000,1,4,Sara Restrepo Cifuentes,235764820.16
87,104400000,1,4,Carolina Lopez Mendoza,176788877.65
87,104400000,1,1,Santiago Jimenez Restrepo,177699955.18
174,208800000,1,2,David Jimenez Botero,354324090.2
174,208800000,1,3,Carlos Valencia Herrera,354020397.69
116,208800000,1,1,David Perez Restrepo,236675897.69
174,208800000,1,1,Diego Torres Henao,354627782.71
116,232000000,1,1,Diego Alvarez Martinez,236675897.69
116,232000000,1,3,Valentina Alvarez Montoya,236068512.67
116,232000000,1,1,Carlos Alvarez Guerrero,236675897.69
116,232000000,1,4,Carolina Patino Martinez,235764820.16
116,232000000,1,4,David Arrieta Garcia,235764820.16
116,232000000,1,3,Valentina Prieto Restrepo,236068512.67
116,232000000,1,4,Nicolás Moreno Ramirez,235764820.16
116,464000000,1,1,Sebastian Hernandez Restrepo,236675897.69
87,121800000,1,3,Carlos Martinez Cifuentes,177092570.16
87,121800000,1,4,Carolina Hernandez Restrepo,176788877.65
87,121800000,1,3,Diego Perez Botero,177092570.16
87,243600000,1,2,Andres Diaz Botero,177396262.67
174,243600000,1,1,Lucas Martinez Quintero,354627782.71
174,487200000,1,4,Carlos Uribe Acosta,353716705.18
174,487200000,1,2,David Hernandez Cifuentes,354324090.2
191,305600000,1,1,Daniel Diaz Herrera,389199886.95
116,127600000,1,4,Diego Ortiz Jaramillo,235764820.16
116,127600000,1,4,Andres Castillo Botero,235764820.16
116,255200000,1,4,David Quintero Montoya,235764820.16
137,164400000,1,2,Diego Restrepo Montoya,279078922.17
80,88000000,1,1,Sara Quintero Guerrero,163464382.85
88,176000000,1,1,Sofia Cardenas Lopez,179733608.37
88,176000000,1,4,Juan Valencia Garcia,178822530.84
88,176000000,1,1,Sara Gomez Lopez,179733608.37
110,176000000,1,3,Santiago Castillo Acosta,223866593.53
160,176000000,1,4,Samuel Torres Gonzalez,325245560.52
88,176000000,1,3,Maria Quintero Cifuentes,179126223.35
80,176000000,1,3,Maria Ortiz Villa,162856997.83
88,176000000,1,3,Marcela Arboleda Garcia,179126223.35
160,176000000,1,4,Sofia Diaz Osorio,325245560.52
176,352000000,1,2,Daniel Cardenas Martinez,358391396.58
176,352000000,1,2,Valentina Ortiz Restrepo,358391396.58
160,352000000,1,1,Santiago Alvarez Restrepo,326156638.05
176,352000000,1,2,Antonia Cardenas Villa,358391396.58
160,352000000,1,1,Santiago Valencia Salazar,326156638.05
176,352000000,1,2,Sebastian Torres Ramirez,358391396.58
176,352000000,1,1,Nicole Ortiz Jaramillo,358695089.09
176,352000000,1,4,Mateo Patino Henao,357784011.56
176,704000000,1,2,Santiago Arrieta Garcia,358391396.58
134,187600000,1,1,Nicole Jimenez Lopez,273281655.11
134,187600000,1,4,Isabella Patino Jaramillo,272370577.58
134,375200000,1,2,Camila Fernandez Herrera,272977962.6
83,99600000,1,2,Carlos Moreno Alvarez,169261649.91
83,99600000,1,4,Carolina Lopez Cano,168654264.89
166,199200000,1,3,Valentina Ortiz Quintero,337751172.17
124,210800000,1,4,Antonia Castillo Gonzalez,252034045.68
139,222400000,1,3,Andres Velez Salazar,282842536.04
90,117000000,1,4,Sofia Restrepo Ramirez,182889837.22
90,117000000,1,1,Antonia Hernandez Villa,183800914.75
117,234000000,1,4,Diego Alvarez Gonzalez,237798473.35
156,234000000,1,2,Sara Jimenez Salazar,317718332.78
180,234000000,1,1,Diego Velez Salazar,366829701.85
117,234000000,1,2,Maria Valencia Botero,238405858.37
117,234000000,1,1,Samuel Quintero Martinez,238709550.88
117,234000000,1,4,Sebastian Lopez Lopez,237798473.35
130,234000000,1,4,Sara Castillo Garcia,264235964.82
117,234000000,1,3,Nicolás Gomez Martinez,238102165.86
117,234000000,1,1,Andres Cardenas Ramirez,238709550.88
117,234000000,1,4,Juan Moreno Montoya,237798473.35
117,234000000,1,1,Marcela Moreno Herrera,238709550.88
156,234000000,1,3,Carolina Castro Jaramillo,317414640.27
180,234000000,1,3,Carolina Restrepo Munoz,366222316.83
180,234000000,1,2,Marcela Lopez Cifuentes,366526009.34
117,234000000,1,1,Sofia Rodriguez Gonzalez,238709550.88
130,234000000,1,3,Santiago Restrepo Garcia,264539657.33
117,234000000,1,1,Laura Uribe Garcia,238709550.88
130,234000000,1,2,Nicolás Torres Martinez,264843349.84
130,234000000,1,4,Santiago Torres Munoz,264235964.82
180,234000000,1,4,Camila Moreno Munoz,365918624.32
117,234000000,1,1,Marcela Alvarez Herrera,238709550.88
156,468000000,1,2,Santiago Ortiz Gonzalez,317718332.78
156,468000000,1,3,Marcela Martinez Jaramillo,317414640.27
179,286400000,1,1,Nicolás Hernandez Alvarez,364796048.66
86,154800000,1,2,Valentina Castillo Cifuentes,175362609.48
86,154800000,1,4,Isabella Perez Restrepo,174755224.46
86,154800000,1,1,Isabella Prieto Herrera,175666301.99
172,309600000,1,3,Isabella Patino Martinez,349953091.31
172,309600000,1,4,Mateo Prieto Jaramillo,349649398.8
172,309600000,1,2,Laura Cardenas Garcia,350256783.82
128,166400000,1,2,Valentina Gomez Jaramillo,260776043.46
128,166400000,1,1,Nicole Arboleda Garcia,261079735.97
128,166400000,1,4,Andres Castro Osorio,260168658.44
104,166400000,1,2,Sofia Cardenas Gonzalez,211968366.9
128,166400000,1,2,Juliana Torres Mendoza,260776043.46
89,178000000,1,4,Sofia Arboleda Jaramillo,180856184.03
89,178000000,1,1,Santiago Restrepo Cifuentes,181767261.56
89,178000000,1,2,Juliana Hernandez Salazar,181463569.05
89,178000000,1,2,Isabella Fernandez Ramirez,181463569.05
89,178000000,1,4,Valentina Restrepo Cano,180856184.03
89,178000000,1,3,Lucas Rodriguez Lopez,181159876.54
89,178000000,1,4,Sofia Castillo Quintero,180856184.03
89,178000000,1,2,Carolina Arrieta Garcia,181463569.05
89,178000000,1,1,Antonia Arboleda Herrera,181767261.56
89,178000000,1,2,Sara Arboleda Garcia,181463569.05
178,356000000,1,2,Maria Fernandez Munoz,362458702.96
178,356000000,1,1,Marcela Quintero Lopez,362762395.47
178,356000000,1,4,Maria Perez Ramirez,361851317.94
178,356000000,1,3,Antonia Castillo Salazar,362155010.45
178,356000000,1,3,Sofia Arrieta Jaramillo,362155010.45
178,356000000,1,4,Camila Jimenez Restrepo,361851317.94
178,356000000,1,2,Sofia Rodriguez Acosta,362458702.96
178,356000000,1,3,Antonia Perez Montoya,362155010.45
178,356000000,1,4,Andres Jimenez Gonzalez,361851317.94
178,712000000,1,2,Nicolás Rodriguez Munoz,362458702.96
178,712000000,1,1,Nicole Moreno Guerrero,362762395.47
158,189600000,1,2,Antonia Patino Herrera,321785639.16
152,212800000,1,3,Carolina Arboleda Botero,309280027.51
102,112200000,1,3,Nicole Hernandez Henao,207597368.01
102,112200000,1,2,Marcela Gomez Herrera,207901060.52
132,224400000,1,4,Santiago Martinez Lopez,268303271.2
132,224400000,1,2,Andres Arrieta Garcia,268910656.22
132,224400000,1,1,David Arrieta Osorio,269214348.73
187,224400000,1,4,Juan Lopez Munoz,380154196.65
132,224400000,1,1,Maria Gomez Herrera,269214348.73
102,224400000,1,1,Nicole Alvarez Lopez,208204753.03
118,236000000,1,3,Camila Rodriguez Quintero,240135819.05
118,236000000,1,1,Carolina Castro Botero,240743204.07
118,236000000,1,4,Santiago Arboleda Guerrero,239832126.54
118,236000000,1,3,Valentina Ortiz Lopez,240135819.05
118,472000000,1,4,Valentina Gomez Mendoza,239832126.54
118,472000000,1,3,Carolina Fernandez Cano,240135819.05
132,145200000,1,4,Diego Rodriguez Alvarez,268303271.2
132,145200000,1,4,Mateo Ortiz Martinez,268303271.2
132,145200000,1,4,Lucas Rodriguez Ramirez,268303271.2
132,290400000,1,3,Diego Patino Osorio,268606963.71
132,290400000,1,2,Carlos Ortiz Henao,268910656.22
98,156800000,1,3,David Restrepo Guerrero,199462755.25
98,156800000,1,3,Nicole Restrepo Herrera,199462755.25
112,156800000,1,1,Laura Quintero Botero,228541284.93
112,156800000,1,4,Nicole Jimenez Acosta,227630207.4
196,313600000,1,3,Juan Valencia Garcia,398760767.88
108,129600000,1,4,Santiago Arrieta Herrera,219495594.64
81,129600000,1,3,Nicole Cardenas Acosta,164890651.02
81,129600000,1,1,Camila Valencia Acosta,165498036.04
108,129600000,1,1,Diego Perez Osorio,220406672.17
144,259200000,1,4,Sofia Martinez Botero,292707109.48
144,259200000,1,4,Isabella Velez Quintero,292707109.48
162,259200000,1,4,Lucas Castro Montoya,329312866.9
162,259200000,1,2,Maria Fernandez Jaramillo,329920251.92
144,259200000,1,2,Isabella Castro Herrera,293314494.5
144,259200000,1,2,Santiago Arrieta Munoz,293314494.5
90,180000000,1,3,Nicole Velez Cifuentes,183193529.73
100,180000000,1,4,Lucas Patino Herrera,203226369.12
90,180000000,1,1,Andres Lopez Villa,183800914.75
90,180000000,1,1,Carlos Moreno Herrera,183800914.75
90,180000000,1,4,Samuel Prieto Lopez,182889837.22
150,180000000,1,4,Carolina Arboleda Cifuentes,304909028.62
120,180000000,1,2,Ana Alvarez Villa,244506817.94
100,180000000,1,2,Andres Uribe Herrera,203833754.14
100,180000000,1,2,Isabella Moreno Ramirez,203833754.14
90,180000000,1,4,Juan Fernandez Cano,182889837.22
100,180000000,1,2,Juan Martinez Cifuentes,203833754.14
90,180000000,1,3,Juliana Rodriguez Munoz,183193529.73
144,360000000,1,1,Nicolás Diaz Martinez,293618187.01
180,360000000,1,2,Carolina Cardenas Henao,366526009.34
120,360000000,1,4,Valentina Patino Quintero,243899432.92
180,360000000,1,3,Lucas Patino Villa,366222316.83
144,360000000,1,2,Nicole Rodriguez Gonzalez,293314494.5
180,360000000,1,3,Daniel Castillo Jaramillo,366222316.83
180,360000000,1,2,Santiago Gomez Cano,366526009.34
180,360000000,1,3,Carolina Moreno Ramirez,366222316.83
144,360000000,1,3,Daniel Quintero Munoz,293010801.99
